Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Fault,VehicleCategory,VehiclePrice,FraudFound_P,Deductible,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy
11.0,5,2.0,6.0,1,1.0,0.0,1,0,2.0,0,1.0,70000.0,0,300,35.0,35.0,0.0,3.0,28.0,0,0,0,0.0,2.0,3.5,2.0
0.0,3,2.0,6.0,1,0.0,0.0,4,1,2.0,0,1.0,70000.0,0,400,35.0,35.0,0.0,6.0,33.0,1,0,0,0.0,1.0,1.0,1.0
9.0,5,4.0,6.0,1,3.0,10.0,2,1,1.0,0,1.0,70000.0,0,400,35.0,35.0,1.0,7.0,45.5,0,0,0,0.0,1.0,1.0,1.0
5.0,2,5.0,17.0,0,4.0,6.0,1,1,1.0,1,1.0,24500.0,0,400,35.0,35.0,1.0,8.0,58.0,1,0,0,6.0,1.0,1.0,2.0
0.0,5,0.0,6.0,1,1.0,1.0,2,0,2.0,1,1.0,70000.0,0,400,35.0,35.0,0.0,5.0,33.0,0,0,0,0.0,1.0,1.0,1.0
9.0,4,4.0,6.0,1,2.0,10.0,1,1,2.0,1,1.0,70000.0,0,400,35.0,35.0,0.0,5.0,23.0,0,0,0,4.0,1.0,1.0,1.0
1.0,1,5.0,6.0,1,0.0,1.0,3,1,1.0,1,1.0,70000.0,0,400,35.0,35.0,1.0,7.0,38.0,0,0,0,1.5,1.0,1.0,1.0
10.0,1,4.0,6.0,1,1.0,2.0,4,1,2.0,0,1.0,70000.0,0,400,35.0,35.0,1.0,0.5,16.5,0,0,0,0.0,1.0,1.0,1.0
11.0,4,5.0,6.0,1,2.0,11.0,5,1,2.0,0,1.0,70000.0,0,400,35.0,35.0,0.0,6.0,33.0,0,1,0,4.0,1.0,1.0,1.0
3.0,3,1.0,5.0,1,2.0,3.0,3,1,1.0,0,2.0,70000.0,0,400,35.0,35.0,3.0,8.0,38.0,0,0,0,4.0,1.0,1.0,0.0
2.0,2,6.0,9.0,1,2.0,2.0,3,1,2.0,0,0.0,70000.0,0,400,35.0,35.0,0.0,8.0,66.0,0,0,0,0.0,1.0,1.0,0.0
2.0,5,0.0,6.0,1,0.0,2.0,5,1,1.0,0,1.0,24500.0,0,400,35.0,35.0,3.0,8.0,45.5,0,0,0,0.0,1.0,1.0,2.0
0.0,3,4.0,5.0,1,4.0,0.0,3,1,1.0,0,1.0,70000.0,0,400,35.0,35.0,1.0,7.0,33.0,0,0,0,0.0,1.0,1.0,2.0
0.0,5,4.0,6.0,0,2.0,1.0,1,1,2.0,1,0.0,70000.0,0,400,35.0,35.0,0.0,0.5,16.5,0,0,0,0.0,1.0,1.0,1.0
0.0,5,0.0,5.0,1,3.0,1.0,1,1,1.0,0,1.0,70000.0,0,400,35.0,35.0,0.0,8.0,58.0,0,0,0,0.0,1.0,1.0,2.0
7.0,4,1.0,5.0,1,0.0,7.0,5,1,2.0,0,1.0,70000.0,0,400,35.0,35.0,0.0,6.0,38.0,0,0,0,0.0,1.0,1.0,2.0
3.0,4,3.0,5.0,1,2.0,4.0,1,1,1.0,0,0.0,70000.0,0,400,35.0,35.0,0.0,7.0,38.0,0,0,0,0.0,1.0,1.0,0.0
6.0,5,6.0,2.0,1,2.0,7.0,1,0,1.0,1,0.0,24500.0,0,400,35.0,35.0,0.0,7.0,33.0,0,0,0,1.5,1.0,1.0,1.0
4.0,4,3.0,13.0,1,0.0,4.0,5,1,2.0,0,1.0,24500.0,0,400,35.0,35.0,1.0,7.0,33.0,0,0,0,0.0,1.0,1.0,2.0
3.0,4,0.0,6.0,1,1.0,4.0,1,1,1.0,1,1.0,70000.0,0,400,35.0,35.0,3.0,6.0,33.0,0,0,0,6.0,1.0,1.0,2.0
3.0,2,4.0,9.0,1,1.0,4.0,1,1,1.0,0,1.0,24500.0,0,400,35.0,35.0,1.0,8.0,38.0,0,0,0,6.0,1.0,1.0,2.0
0.0,2,5.0,2.0,1,0.0,0.0,2,1,1.0,0,0.0,24500.0,0,400,35.0,35.0,1.0,8.0,45.5,0,0,0,0.0,4.0,2.0,1.0
7.0,3,6.0,9.0,1,3.0,7.0,5,1,1.0,0,1.0,24500.0,0,400,35.0,35.0,1.0,8.0,58.0,0,0,0,1.5,1.0,1.0,2.0
5.0,3,5.0,13.0,1,1.0,5.0,3,1,2.0,1,1.0,34500.0,0,400,35.0,35.0,0.0,6.0,33.0,0,0,0,4.0,1.0,1.0,2.0
8.0,3,4.0,9.0,1,4.0,8.0,3,1,1.0,0,0.0,70000.0,0,400,35.0,35.0,5.0,8.0,38.0,1,0,0,0.0,1.0,1.0,0.0
2.0,3,0.0,13.0,1,1.0,3.0,1,1,1.0,0,1.0,24500.0,0,400,35.0,35.0,5.0,8.0,58.0,0,0,0,0.0,1.0,1.0,2.0
2.0,3,3.0,6.0,1,3.0,5.0,4,1,1.0,0,0.0,34500.0,0,400,35.0,35.0,5.0,5.0,28.0,0,0,0,6.0,1.0,1.0,1.0
4.0,3,6.0,0.0,1,4.0,4.0,4,1,1.0,0,0.0,34500.0,0,400,35.0,35.0,3.0,7.0,38.0,0,0,0,1.5,1.0,1.0,0.0
6.0,1,5.0,6.0,1,1.0,8.0,4,1,2.0,0,0.0,70000.0,1,400,35.0,35.0,0.0,0.5,16.5,0,0,0,0.0,1.0,1.0,0.0
4.0,3,0.0,9.0,1,2.0,4.0,4,0,1.0,0,0.0,24500.0,0,400,35.0,35.0,0.0,7.0,38.0,0,0,0,0.0,1.0,1.0,1.0
2.0,2,4.0,3.0,1,5.0,2.0,2,1,1.0,0,0.0,34500.0,0,400,35.0,35.0,3.0,8.0,45.5,0,0,1,0.0,1.0,1.0,1.0
2.0,1,6.0,6.0,1,1.0,2.0,2,1,2.0,0,0.0,70000.0,0,400,35.0,35.0,1.0,0.5,16.5,0,0,0,0.0,1.0,1.0,1.0
2.0,2,2.0,2.0,1,2.0,2.0,2,1,2.0,0,0.0,24500.0,0,400,35.0,35.0,5.0,7.0,38.0,0,0,0,4.0,1.0,1.0,1.0
0.0,4,0.0,6.0,1,1.0,0.0,4,1,2.0,1,0.0,24500.0,0,400,35.0,35.0,0.0,6.0,33.0,0,0,0,1.5,1.0,1.0,1.0
0.0,4,1.0,5.0,1,2.0,0.0,4,1,1.0,0,2.0,70000.0,0,400,35.0,35.0,3.0,7.0,38.0,0,0,0,0.0,1.0,1.0,0.0
9.0,2,2.0,2.0,1,3.0,9.0,2,1,2.0,1,1.0,24500.0,0,400,35.0,35.0,3.0,7.0,33.0,0,0,0,6.0,1.0,1.0,2.0
9.0,2,1.0,6.0,1,3.0,9.0,3,1,1.0,1,0.0,24500.0,0,400,35.0,35.0,0.0,6.0,33.0,0,0,0,6.0,1.0,1.0,1.0
8.0,2,4.0,9.0,1,4.0,8.0,3,1,2.0,0,0.0,34500.0,0,400,35.0,35.0,0.0,7.0,33.0,0,0,0,6.0,1.0,1.0,1.0
10.0,4,1.0,6.0,1,3.0,10.0,4,1,1.0,0,1.0,70000.0,0,400,35.0,35.0,0.0,8.0,45.5,0,0,0,0.0,1.0,1.0,1.0
10.0,4,3.0,17.0,1,1.0,0.0,1,1,1.0,0,0.0,24500.0,0,400,35.0,35.0,0.0,7.0,33.0,0,0,0,1.5,1.0,1.0,1.0
